technique,case_id,state,runtime_avg,runtime_cnf
build-marking-3,,,0.006372610727945964, 0.003960099636492285
build-marking-5,,,0.00902700424194336, 0.009963463457032487
build-marking-7,,,0.0069739023844401045, 0.00444842391589836
build-marking-9,,,0.005692084630330403, 0.0015093955966502593
IASR,A,{'edge6'},0.24962806701660156, 0.031339693129582714
IAS,A,{'edge6'},0.08362348874409993, 0.017796144226578003
OCC,A,{'edge6'},0.14891370137532553, 0.012578949841199108
IASR,AA,{'edge41'},0.01978898048400879, 0.002645033140699606
IAS,AA,{'edge41'},0.016542991002400715, 0.013691983149969793
OCC,AA,{'edge41'},0.015863974889119465, 0.010912137513384988
IASR,AAA,{'edge41'},0.0659029483795166, 0.03483941632816337
IAS,AAA,{'edge41'},0.037407477696736656, 0.0247908717091196
OCC,AAA,{'edge41'},0.0677930514017741, 0.014654735154146847
IASR,AB,{'edge41'},0.029796044031778973, 0.019060532452660664
IAS,AB,{'edge41'},0.01660943031311035, 0.004934117962306525
OCC,AB,{'edge41'},0.019177039464314777, 0.00938209193170397
IASR,ABA,{'edge6'},0.1734004815419515, 0.028638349486332523
IAS,ABA,{'edge6'},0.08119924863179524, 0.014163589856750956
OCC,ABA,{'edge6'},0.14199066162109375, 0.037899997336140044
IASR,AC,{'edge10'},0.10298649470011394, 0.03252028120866469
IAS,AC,{'edge10'},0.05953200658162435, 0.025626790610771222
OCC,AC,{'edge10'},0.08041421572367351, 0.03016395549473067
IASR,ACA,{'edge41'},0.028329928716023762, 0.01242184009283794
IAS,ACA,{'edge41'},0.02466583251953125, 0.014516842657926665
OCC,ACA,{'edge41'},0.023999532063802082, 0.012990533911413025
IASR,AD,{'edge6'},0.7751498222351074, 0.062182634804896116
IAS,AD,{'edge6'},0.33136359850565594, 0.060960682568739835
OCC,AD,{'edge6'},0.9421236515045166, 0.07666436135878156
IASR,ADA,{'edge6'},0.020034948984781902, 0.015259378174279333
IAS,ADA,{'edge6'},0.014666239420572916, 0.010116841927227213
OCC,ADA,{'edge6'},0.013812939325968424, 0.013423085309242183
IASR,AE,{'edge41'},0.20834716161092123, 0.022105627969634032
IAS,AE,{'edge41'},0.09491745630900066, 0.004135183065604757
OCC,AE,{'edge41'},0.2582525412241618, 0.028584162093505533
IASR,AEA,{'edge6'},0.043883562088012695, 0.014426426717133891
IAS,AEA,{'edge6'},0.02378368377685547, 0.017006222247958707
OCC,AEA,{'edge6'},0.03872076670328776, 0.01874509566416467
IASR,AF,{'edge10'},0.1289208730061849, 0.03496920493504909
IAS,AF,{'edge10'},0.0557103157043457, 0.017912389758426017
OCC,AF,{'edge10'},0.09885986646016438, 0.03248899352837986
IASR,AFA,{'edge10'},0.09656008084615071, 0.010439494863713768
IAS,AFA,{'edge10'},0.07580916086832683, 0.03252550676505841
OCC,AFA,{'edge10'},0.08636109034220378, 0.043666775024666545
IASR,AG,{'edge10'},0.02054309844970703, 0.014775261446556913
IAS,AG,{'edge10'},0.012587865193684896, 0.001796333730156612
OCC,AG,{'edge10'},0.013492663701375326, 0.0020195998533122515
IASR,AGA,{'edge40'},0.07504781087239583, 0.021449632421974583
IAS,AGA,{'edge40'},0.04553071657816569, 0.022480820625332496
OCC,AGA,{'edge40'},0.05465539296468099, 0.015057906578586789
IASR,AH,{'edge10'},0.023950576782226562, 0.005991015881122532
IAS,AH,{'edge10'},0.02033344904581706, 0.0117507333640616
OCC,AH,{'edge10'},0.023029009501139324, 0.01095187390360136
IASR,AHA,{'edge40'},0.07548832893371582, 0.0018194640807875232
IAS,AHA,{'edge40'},0.03830361366271973, 0.014432615432089142
OCC,AHA,{'edge40'},0.05478755633036295, 0.01090784317189124
IASR,AI,{'edge40'},0.10033599535624187, 0.03088003099971158
IAS,AI,{'edge40'},0.04864621162414551, 0.0180263592326447
OCC,AI,{'edge40'},0.07854000727335612, 0.013344600842860025
IASR,AIA,{'edge40'},0.14756902058919272, 0.012964115635675382
IAS,AIA,{'edge40'},0.07697621981302898, 0.011689231484346365
OCC,AIA,{'edge40'},0.14310105641682944, 0.0324276028926541
IASR,AJ,{'edge6'},0.2437756061553955, 0.0165595571800106
IAS,AJ,{'edge6'},0.15700348218282065, 0.01904661574018794
OCC,AJ,{'edge6'},0.3495224316914876, 0.042331341368873204
IASR,AJA,{'edge4'},0.016031583150227863, 0.004963967457407425
IAS,AJA,{'edge4'},0.008359352747599283, 0.001649066299943887
OCC,AJA,{'edge4'},0.0059731801350911455, 0.00040989558843539483
IASR,AK,{'edge10'},0.030308087666829426, 0.018481230819750023
IAS,AK,{'edge10'},0.01932390530904134, 0.0035931585897619315
OCC,AK,{'edge10'},0.020967721939086914, 0.00667320591349013
IASR,AKA,{'edge4'},0.006998300552368164, 0.002655141944866778
IAS,AKA,{'edge4'},0.00834806760152181, 0.01293329602174622
OCC,AKA,{'edge4'},0.0006562074025472006, 0.001411732716275084
IASR,AL,{'edge4'},0.04986755053202311, 0.01344203526963055
IAS,AL,{'edge4'},0.030231396357218426, 0.017697755362349084
OCC,AL,{'edge4'},0.03468132019042969, 0.01579684905125539
IASR,ALA,{'edge41'},0.04255072275797526, 0.008045027127517973
IAS,ALA,{'edge41'},0.023304303487141926, 0.01749330253979825
OCC,ALA,{'edge41'},0.02781216303507487, 0.01992643465551515
IASR,AM,{'edge10'},0.019007205963134766, 0.0025165355607176558
IAS,AM,{'edge10'},0.011989355087280273, 0.006533670793864749
OCC,AM,{'edge10'},0.01685786247253418, 0.006896023693915353
IASR,AMA,{'edge10'},0.02854601542154948, 0.001738085497216544
IAS,AMA,{'edge10'},0.021654764811197918, 0.010487158795013846
OCC,AMA,{'edge10'},0.03067787488301595, 0.009115687456628318
IASR,AN,{'edge6'},0.016474485397338867, 0.0020034821827855276
IAS,AN,{'edge6'},0.016584396362304688, 0.01210736535525196
OCC,AN,{'edge6'},0.011005798975626627, 4.651948319867875e-05
IASR,ANA,{'edge6'},0.029126326243082683, 0.01607505156914733
IAS,ANA,{'edge6'},0.01830752690633138, 0.0039225708554734345
OCC,ANA,{'edge6'},0.018660545349121094, 0.00286363429475312
IASR,AO,{'edge6'},0.017322778701782227, 0.0014782967902429202
IAS,AO,{'edge6'},0.014698505401611328, 0.013651552497486579
OCC,AO,{'edge6'},0.015328486760457357, 0.012762880921119575
IASR,AP,{'edge41'},0.03843156496683756, 0.011111200966888807
IAS,AP,{'edge41'},0.022640228271484375, 0.002916532839882502
OCC,AP,{'edge41'},0.029030243555704754, 0.00872953959551256
IASR,AQ,{'edge41'},0.058968544006347656, 0.006441474593103572
IAS,AQ,{'edge41'},0.044426918029785156, 0.01622501808869486
OCC,AQ,{'edge41'},0.07171114285786946, 0.020869744216737634
IASR,AR,{'edge10'},0.10552819569905598, 0.027440840779297888
IAS,AR,{'edge10'},0.0558770497639974, 0.018160367533338523
OCC,AR,{'edge10'},0.07789675394694011, 0.016220349882165967
IASR,AS,{'edge41'},0.3489425977071126, 0.0797433774237634
IAS,AS,{'edge41'},0.19877990086873373, 0.05408882859296571
OCC,AS,{'edge41'},0.5273476441701254, 0.1041392069546985
IASR,AT,{'edge41'},0.02788678805033366, 0.012822305965661994
IAS,AT,{'edge41'},0.019030412038167317, 0.004171205402503631
OCC,AT,{'edge41'},0.02201994260152181, 0.01732460195405536
IASR,AU,{'edge10'},0.05117535591125488, 0.011963482595132996
IAS,AU,{'edge10'},0.025215784708658855, 0.01775432890784749
OCC,AU,{'edge10'},0.02799399693806966, 0.021240828199822093
IASR,AV,{'edge0'},0.021472930908203125, 0.013660502965315036
IAS,AV,{'edge0'},0.012496232986450195, 0.001048479118730166
OCC,AV,{'edge0'},0.014306227366129557, 0.0035993829556096057
IASR,AW,{'edge6'},0.018027782440185547, 0.0022935929859285386
IAS,AW,{'edge6'},0.01263729731241862, 0.007461612778943749
OCC,AW,{'edge6'},0.012134949366251627, 0.005482012065489704
IASR,AX,{'edge10'},0.019658644994099934, 0.005145942438537815
IAS,AX,{'edge10'},0.015044291814168295, 0.013663632798338021
OCC,AX,{'edge10'},0.01501925786336263, 0.00652895460147951
IASR,AY,{'edge6'},0.2862067222595215, 0.023418495303368092
IAS,AY,{'edge6'},0.13729143142700195, 0.046872666267356686
OCC,AY,{'edge6'},0.39200035730997723, 0.0651819379278308
IASR,AZ,{'edge41'},0.0523990790049235, 0.015943022860182166
IAS,AZ,{'edge41'},0.022667884826660156, 0.007219866407127495
OCC,AZ,{'edge41'},0.05227788289388021, 0.019437785379926166
IASR,B,{'edge2'},0.053670803705851235, 0.01988445164903179
IAS,B,{'edge2'},0.02808698018391927, 0.013515448602269145
OCC,B,{'edge2'},0.028635501861572266, 0.011801325981554756
IASR,BA,{'edge6'},0.05350017547607422, 0.023191783524575543
IAS,BA,{'edge6'},0.021733999252319336, 0.0031892790110666655
OCC,BA,{'edge6'},0.024997472763061523, 0.013121837713268428
IASR,BAA,{'edge41'},0.042574803034464516, 0.01329927689582188
IAS,BAA,{'edge41'},0.02099299430847168, 0.004275638101136435
OCC,BAA,{'edge41'},0.040025949478149414, 0.006482028065727374
IASR,BB,{'edge41'},0.02283644676208496, 0.002102027609425581
IAS,BB,{'edge41'},0.01593184471130371, 0.0004602574162260372
OCC,BB,{'edge41'},0.017665863037109375, 0.003034011916849467
IASR,BBA,{'edge7'},0.06409629185994466, 0.021332808661856488
IAS,BBA,{'edge7'},0.04065990447998047, 0.024525521958069278
OCC,BBA,{'edge7'},0.053826491038004555, 0.012123065515459159
IASR,BC,{'edge10'},0.024664799372355144, 0.011658585732933815
IAS,BC,{'edge10'},0.010337591171264648, 0.0014223173242264645
OCC,BC,{'edge10'},0.021366357803344727, 0.022509296207019608
IASR,BCA,{'edge10'},0.06204064687093099, 0.01655894602808624
IAS,BCA,{'edge10'},0.03238264719645182, 0.005212722727835473
OCC,BCA,{'edge10'},0.043852647145589195, 0.003408205796516255
IASR,BD,{'edge4'},0.022533734639485676, 0.024264078337425922
IAS,BD,{'edge4'},0.009639422098795572, 0.0015724534718566338
OCC,BD,{'edge4'},0.011333703994750977, 0.009289131274787598
IASR,BDA,{'edge40'},0.08321754137674968, 0.012214484682230315
IAS,BDA,{'edge40'},0.04931306838989258, 0.010264332315987728
OCC,BDA,{'edge40'},0.09611940383911133, 0.01293886342069392
IASR,BE,{'edge10'},0.1371005376180013, 0.03478993452621526
IAS,BE,{'edge10'},0.07720685005187988, 0.024370419924006247
OCC,BE,{'edge10'},0.1992638905843099, 0.05676542056885745
IASR,BEA,{'edge0'},0.012374003728230795, 0.00388761021433751
IAS,BEA,{'edge0'},0.008293549219767252, 0.0013485447521431287
OCC,BEA,{'edge0'},0.009547869364420572, 0.006324338813678513
IASR,BF,{'edge2'},0.017334858576456707, 0.0038064083287839487
IAS,BF,{'edge2'},0.009300629297892252, 0.001478653069962995
OCC,BF,{'edge2'},0.00532841682434082, 0.0012513272436622536
IASR,BFA,{'edge41'},0.07190871238708496, 0.023914023005698667
IAS,BFA,{'edge41'},0.0336761474609375, 0.013698600734778172
OCC,BFA,{'edge41'},0.06434369087219238, 0.016111703199564634
IASR,BG,{'edge6'},0.035656372706095375, 0.01375275134541318
IAS,BG,{'edge6'},0.029030561447143555, 0.010558813945263595
OCC,BG,{'edge6'},0.028880993525187176, 0.006203735205147906
IASR,BGA,{'edge2'},0.029873132705688477, 0.0098793706979864
IAS,BGA,{'edge2'},0.015941460927327473, 0.0019882676095309333
OCC,BGA,{'edge2'},0.014988422393798828, 0.01077212607356679
IASR,BH,{'edge41'},0.024875164031982422, 0.01909516319910454
IAS,BH,{'edge41'},0.012614170710245768, 0.0040211372131643735
OCC,BH,{'edge41'},0.016361316045125324, 0.00868906528791318
IASR,BHA,{'edge10'},0.041223605473836265, 0.01473880917144074
IAS,BHA,{'edge10'},0.02674722671508789, 0.006033496462237971
OCC,BHA,{'edge10'},0.03301246960957845, 0.006801985761492768
IASR,BI,{'edge4'},0.017434358596801758, 0.01052761449382936
IAS,BI,{'edge4'},0.0073397159576416016, 0.002889831879380722
